id,feature_id,license_number,license_code,license_name,applicable_nf
WSFD-225001:license:82200EDD,WSFD-225001,82200EDD,LKV2SALANSM01,5G LAN业务基本功能-USM,
WSFD-225002:license:82200EDD,WSFD-225002,82200EDD,LKV2SALANSM01,5G LAN业务基本功能-USM,
WSFD-225003:license:82200EDD,WSFD-225003,82200EDD,LKV2SALANSM01,5G LAN业务基本功能-USM,
WSFD-227101:license:81203640,WSFD-227101,81203640,LKV2ABTVPB01,灰度升级解决方案增值包基本功能-UAM,AMF
WSFD-227101:license:81203636,WSFD-227101,81203636,LKV2HUSM01,灰度升级解决方案增值包基本功能-USM,SMF
WSFD-227102:license:81203924,WSFD-227102,81203924,LKV2DTRABAM01,支持灰度拨测和发布-UAM,AMF
WSFD-227102:license:81203920,WSFD-227102,81203920,LKV2DTRABSM01,支持灰度拨测和发布-USM,SMF
WSFD-227103:license:81203925,WSFD-227103,81203925,LKV2HRABAM01,支持灰度升级无损回退-UAM,AMF
WSFD-227103:license:81203921,WSFD-227103,81203921,LKV2HRABSM01,支持灰度升级无损回退-USM,SMF
WSFD-228001:license:82200EDE,WSFD-228001,82200EDE,LKV2SACDSA01,跨域业务访问,
WSFD-228002:license:82200GCE,WSFD-228002,82200GCE,LKV2MVSTAUSM01,通用DNN漫游分流,
